title,price,category,rating,availability,description_len,has_desc,n_reviews,title_len,url
The Death of Humanity: and the Case for Life,58.11,Philosophy,4,16,905,1,0,44,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
The Stranger,17.44,Philosophy,4,15,309,1,0,12,https://books.toscrape.com/catalogue/the-stranger_861/index.html
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,Philosophy,1,8,971,1,0,59,https://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html
Kierkegaard: A Christian Missionary to Christians,47.13,Philosophy,1,8,1402,1,0,49,https://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,Philosophy,5,7,1761,1,0,205,https://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html
Critique of Pure Reason,20.75,Philosophy,1,5,1323,1,0,23,https://books.toscrape.com/catalogue/critique-of-pure-reason_366/index.html
"Run, Spot, Run: The Ethics of Keeping Pets",20.02,Philosophy,1,2,2010,1,0,42,https://books.toscrape.com/catalogue/run-spot-run-the-ethics-of-keeping-pets_106/index.html
The Nicomachean Ethics,36.34,Philosophy,1,1,1451,1,0,22,https://books.toscrape.com/catalogue/the-nicomachean-ethics_75/index.html
Meditations,25.89,Philosophy,2,1,1248,1,0,11,https://books.toscrape.com/catalogue/meditations_33/index.html
Beyond Good and Evil,43.38,Philosophy,1,1,1819,1,0,20,https://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html
Chase Me (Paris Nights #2),25.27,Romance,5,19,1170,1,0,26,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Black Dust,34.53,Romance,5,19,1290,1,0,10,https://books.toscrape.com/catalogue/black-dust_976/index.html
Her Backup Boyfriend (The Sorensen Family #1),33.97,Romance,1,16,1263,1,0,45,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html
First and First (Five Boroughs #3),15.97,Romance,4,16,1284,1,0,34,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html
Fifty Shades Darker (Fifty Shades #2),21.96,Romance,1,16,1327,1,0,37,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html
The Wedding Dress,24.12,Romance,1,15,1672,1,0,17,https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html
Suddenly in Love (Lake Haven #1),55.99,Romance,2,15,1447,1,0,32,https://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html
Something More Than This,16.24,Romance,4,15,1286,1,0,24,https://books.toscrape.com/catalogue/something-more-than-this_834/index.html
Doing It Over (Most Likely To #1),35.61,Romance,3,15,1258,1,0,33,https://books.toscrape.com/catalogue/doing-it-over-most-likely-to-1_802/index.html
The Wedding Pact (The O'Malleys #2),32.61,Romance,3,14,1188,1,0,35,https://books.toscrape.com/catalogue/the-wedding-pact-the-omalleys-2_767/index.html
Hold Your Breath (Search and Rescue #1),28.82,Romance,1,14,1290,1,0,39,https://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html
Dirty (Dive Bar #1),40.83,Romance,4,12,1201,1,0,19,https://books.toscrape.com/catalogue/dirty-dive-bar-1_615/index.html
Take Me Home Tonight (Rock Star Romance #3),53.98,Romance,3,11,1223,1,0,43,https://books.toscrape.com/catalogue/take-me-home-tonight-rock-star-romance-3_605/index.html
Off the Hook (Fishing for Trouble #1),47.67,Romance,3,11,1585,1,0,37,https://books.toscrape.com/catalogue/off-the-hook-fishing-for-trouble-1_601/index.html
A Gentleman's Position (Society of Gentlemen #3),14.75,Romance,5,11,1696,1,0,48,https://books.toscrape.com/catalogue/a-gentlemans-position-society-of-gentlemen-3_584/index.html
"Sit, Stay, Love",20.9,Romance,3,7,1373,1,0,15,https://books.toscrape.com/catalogue/sit-stay-love_486/index.html
A Girl's Guide to Moving On (New Beginnings #2),31.3,Romance,1,5,3870,1,0,47,https://books.toscrape.com/catalogue/a-girls-guide-to-moving-on-new-beginnings-2_359/index.html
The Perfect Play (Play by Play #1),59.99,Romance,3,4,1432,1,0,34,https://books.toscrape.com/catalogue/the-perfect-play-play-by-play-1_352/index.html
Dark Lover (Black Dagger Brotherhood #1),12.87,Romance,1,4,1168,1,0,40,https://books.toscrape.com/catalogue/dark-lover-black-dagger-brotherhood-1_319/index.html
Changing the Game (Play by Play #2),13.38,Romance,3,4,1249,1,0,35,https://books.toscrape.com/catalogue/changing-the-game-play-by-play-2_317/index.html
A Walk to Remember,56.43,Romance,1,4,1516,1,0,18,https://books.toscrape.com/catalogue/a-walk-to-remember_312/index.html
The Purest Hook (Second Circle Tattoos #3),12.25,Romance,1,3,1471,1,0,42,https://books.toscrape.com/catalogue/the-purest-hook-second-circle-tattoos-3_271/index.html
The Obsession,45.43,Romance,1,3,1202,1,0,13,https://books.toscrape.com/catalogue/the-obsession_268/index.html
Reservations for Two,11.1,Romance,3,3,1319,1,0,20,https://books.toscrape.com/catalogue/reservations-for-two_211/index.html
Best of My Love (Fool's Gold #20),27.41,Romance,2,3,1484,1,0,33,https://books.toscrape.com/catalogue/best-of-my-love-fools-gold-20_127/index.html
Where Lightning Strikes (Bleeding Stars #3),39.77,Romance,3,1,1475,1,0,43,https://books.toscrape.com/catalogue/where-lightning-strikes-bleeding-stars-3_96/index.html
This One Moment (Pushing Limits #1),48.71,Romance,1,1,1668,1,0,35,https://books.toscrape.com/catalogue/this-one-moment-pushing-limits-1_88/index.html
"Rhythm, Chord & Malykhin",28.34,Romance,2,1,1313,1,0,24,https://books.toscrape.com/catalogue/rhythm-chord-malykhin_47/index.html
My Perfect Mistake (Over the Top #1),38.92,Romance,2,1,1154,1,0,36,https://books.toscrape.com/catalogue/my-perfect-mistake-over-the-top-1_35/index.html
Listen to Me (Fusion #1),58.99,Romance,3,1,1716,1,0,24,https://books.toscrape.com/catalogue/listen-to-me-fusion-1_29/index.html
Imperfect Harmony,34.74,Romance,4,1,1354,1,0,17,https://books.toscrape.com/catalogue/imperfect-harmony_26/index.html
Fighting Fate (Fighting #6),39.24,Romance,3,1,1930,1,0,27,https://books.toscrape.com/catalogue/fighting-fate-fighting-6_18/index.html
Deep Under (Walker Security #1),47.09,Romance,5,1,1106,1,0,31,https://books.toscrape.com/catalogue/deep-under-walker-security-1_15/index.html
Charity's Cross (Charles Towne Belles #4),41.24,Romance,1,1,1987,1,0,41,https://books.toscrape.com/catalogue/charitys-cross-charles-towne-belles-4_12/index.html
Bounty (Colorado Mountain #7),37.26,Romance,4,1,1801,1,0,29,https://books.toscrape.com/catalogue/bounty-colorado-mountain-7_9/index.html
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,Womens Fiction,4,15,1597,1,0,70,https://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html
Will You Won't You Want Me?,13.86,Womens Fiction,3,12,1243,1,0,27,https://books.toscrape.com/catalogue/will-you-wont-you-want-me_644/index.html
Keep Me Posted,20.46,Womens Fiction,4,11,1648,1,0,14,https://books.toscrape.com/catalogue/keep-me-posted_594/index.html
Grey (Fifty Shades #4),48.49,Womens Fiction,4,11,1463,1,0,22,https://books.toscrape.com/catalogue/grey-fifty-shades-4_592/index.html
Meternity,43.58,Womens Fiction,3,7,1843,1,0,9,https://books.toscrape.com/catalogue/meternity_478/index.html
Some Women,13.73,Womens Fiction,5,4,1643,1,0,10,https://books.toscrape.com/catalogue/some-women_341/index.html
Shopaholic Ties the Knot (Shopaholic #3),48.39,Womens Fiction,5,4,1335,1,0,40,https://books.toscrape.com/catalogue/shopaholic-ties-the-knot-shopaholic-3_340/index.html
Can You Keep a Secret?,21.94,Womens Fiction,1,4,1074,1,0,22,https://books.toscrape.com/catalogue/can-you-keep-a-secret_315/index.html
Twenties Girl,42.8,Womens Fiction,2,3,1400,1,0,13,https://books.toscrape.com/catalogue/twenties-girl_292/index.html
The Undomestic Goddess,45.75,Womens Fiction,4,3,1182,1,0,22,https://books.toscrape.com/catalogue/the-undomestic-goddess_286/index.html
The Nanny Diaries (Nanny #1),52.53,Womens Fiction,5,3,1761,1,0,28,https://books.toscrape.com/catalogue/the-nanny-diaries-nanny-1_265/index.html
The Devil Wears Prada (The Devil Wears Prada #1),44.29,Womens Fiction,1,3,2244,1,0,48,https://books.toscrape.com/catalogue/the-devil-wears-prada-the-devil-wears-prada-1_243/index.html
Something Borrowed (Darcy & Rachel #1),48.96,Womens Fiction,5,3,1218,1,0,38,https://books.toscrape.com/catalogue/something-borrowed-darcy-rachel-1_224/index.html
Something Blue (Darcy & Rachel #2),54.62,Womens Fiction,1,3,1075,1,0,34,https://books.toscrape.com/catalogue/something-blue-darcy-rachel-2_223/index.html
I've Got Your Number,19.69,Womens Fiction,1,3,1698,1,0,20,https://books.toscrape.com/catalogue/ive-got-your-number_173/index.html
The Edge of Reason (Bridget Jones #2),19.18,Womens Fiction,4,1,1430,1,0,37,https://books.toscrape.com/catalogue/the-edge-of-reason-bridget-jones-2_63/index.html
Bridget Jones's Diary (Bridget Jones #1),29.82,Womens Fiction,1,1,1548,1,0,40,https://books.toscrape.com/catalogue/bridget-joness-diary-bridget-jones-1_10/index.html
Soumission,50.1,Fiction,1,20,1136,1,0,10,https://books.toscrape.com/catalogue/soumission_998/index.html
Private Paris (Private #10),47.61,Fiction,5,17,1131,1,0,27,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
"We Love You, Charlie Freeman",50.27,Fiction,5,16,1499,1,0,28,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
Thirst,17.27,Fiction,5,16,1451,1,0,6,https://books.toscrape.com/catalogue/thirst_946/index.html
The Murder That Never Was (Forensic Instincts #5),54.11,Fiction,3,16,1843,1,0,49,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
Tuesday Nights in 1980,21.04,Fiction,2,15,2581,1,0,22,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html
The Vacationers,42.15,Fiction,4,15,1546,1,0,15,https://books.toscrape.com/catalogue/the-vacationers_863/index.html
The Regional Office Is Under Attack!,51.36,Fiction,5,15,1320,1,0,36,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html
Finders Keepers (Bill Hodges Trilogy #2),53.53,Fiction,5,15,1776,1,0,40,https://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html
The Time Keeper,27.88,Fiction,5,14,1216,1,0,15,https://books.toscrape.com/catalogue/the-time-keeper_766/index.html
The Testament of Mary,52.67,Fiction,4,14,1644,1,0,21,https://books.toscrape.com/catalogue/the-testament-of-mary_765/index.html
The First Hostage (J.B. Collins #2),25.85,Fiction,3,14,1277,1,0,35,https://books.toscrape.com/catalogue/the-first-hostage-jb-collins-2_749/index.html
Take Me with You,45.21,Fiction,3,14,979,1,0,16,https://books.toscrape.com/catalogue/take-me-with-you_741/index.html
Still Life with Bread Crumbs,26.41,Fiction,3,14,1353,1,0,28,https://books.toscrape.com/catalogue/still-life-with-bread-crumbs_738/index.html
Shtum,55.84,Fiction,4,14,1070,1,0,5,https://books.toscrape.com/catalogue/shtum_733/index.html
My Name Is Lucy Barton,41.56,Fiction,1,14,1398,1,0,22,https://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html
My Mrs. Brown,24.48,Fiction,3,14,2205,1,0,13,https://books.toscrape.com/catalogue/my-mrs-brown_719/index.html
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,Fiction,1,14,1606,1,0,37,https://books.toscrape.com/catalogue/mr-mercedes-bill-hodges-trilogy-1_717/index.html
I Am Pilgrim (Pilgrim #1),10.6,Fiction,4,14,902,1,0,25,https://books.toscrape.com/catalogue/i-am-pilgrim-pilgrim-1_703/index.html
Eligible (The Austen Project #4),27.09,Fiction,3,14,1597,1,0,32,https://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html
Eight Hundred Grapes,14.39,Fiction,4,14,1130,1,0,20,https://books.toscrape.com/catalogue/eight-hundred-grapes_690/index.html
Dear Mr. Knightley,11.21,Fiction,5,14,1560,1,0,18,https://books.toscrape.com/catalogue/dear-mr-knightley_684/index.html
Cometh the Hour (The Clifton Chronicles #6),25.01,Fiction,3,14,1820,1,0,43,https://books.toscrape.com/catalogue/cometh-the-hour-the-clifton-chronicles-6_681/index.html
Balloon Animals,17.03,Fiction,3,14,1389,1,0,15,https://books.toscrape.com/catalogue/balloon-animals_665/index.html
A Man Called Ove,39.72,Fiction,1,14,1300,1,0,16,https://books.toscrape.com/catalogue/a-man-called-ove_653/index.html
The Silent Sister (Riley MacPherson #1),46.29,Fiction,5,12,1136,1,0,39,https://books.toscrape.com/catalogue/the-silent-sister-riley-macpherson-1_641/index.html
The Dinner Party,56.54,Fiction,2,12,1597,1,0,16,https://books.toscrape.com/catalogue/the-dinner-party_635/index.html
The Improbability of Love,59.45,Fiction,1,11,1243,1,0,25,https://books.toscrape.com/catalogue/the-improbability-of-love_607/index.html
Mothering Sunday,13.34,Fiction,2,11,1460,1,0,16,https://books.toscrape.com/catalogue/mothering-sunday_600/index.html
Lies and Other Acts of Love,45.14,Fiction,1,11,1313,1,0,27,https://books.toscrape.com/catalogue/lies-and-other-acts-of-love_596/index.html
Daredevils,16.34,Fiction,3,11,2620,1,0,10,https://books.toscrape.com/catalogue/daredevils_590/index.html
11/22/63,48.48,Fiction,3,11,1361,1,0,8,https://books.toscrape.com/catalogue/112263_583/index.html
The Shack,28.03,Fiction,1,9,1263,1,0,9,https://books.toscrape.com/catalogue/the-shack_576/index.html
The High Mountains of Portugal,51.15,Fiction,1,8,1435,1,0,30,https://books.toscrape.com/catalogue/the-high-mountains-of-portugal_547/index.html
Miller's Valley,58.54,Fiction,2,8,1489,1,0,15,https://books.toscrape.com/catalogue/millers-valley_534/index.html
Hystopia: A Novel,21.96,Fiction,4,8,1665,1,0,17,https://books.toscrape.com/catalogue/hystopia-a-novel_523/index.html
The Bourne Identity (Jason Bourne #1),42.78,Fiction,4,7,364,1,0,37,https://books.toscrape.com/catalogue/the-bourne-identity-jason-bourne-1_492/index.html
Sister Dear,40.2,Fiction,4,7,1365,1,0,11,https://books.toscrape.com/catalogue/sister-dear_485/index.html
Memoirs of a Geisha,49.67,Fiction,3,7,926,1,0,19,https://books.toscrape.com/catalogue/memoirs-of-a-geisha_477/index.html
Me Before You (Me Before You #1),19.02,Fiction,1,6,1057,1,0,32,https://books.toscrape.com/catalogue/me-before-you-me-before-you-1_434/index.html
Deception Point,40.32,Fiction,4,6,1454,1,0,15,https://books.toscrape.com/catalogue/deception-point_426/index.html
The Little Paris Bookshop,24.73,Fiction,3,5,1804,1,0,25,https://books.toscrape.com/catalogue/the-little-paris-bookshop_407/index.html
The Firm,45.56,Fiction,3,5,929,1,0,8,https://books.toscrape.com/catalogue/the-firm_404/index.html
The Expatriates,44.58,Fiction,2,5,1721,1,0,15,https://books.toscrape.com/catalogue/the-expatriates_401/index.html
Siddhartha,34.22,Fiction,5,5,789,1,0,10,https://books.toscrape.com/catalogue/siddhartha_393/index.html
Last One Home (New Beginnings #1),59.98,Fiction,3,5,1648,1,0,33,https://books.toscrape.com/catalogue/last-one-home-new-beginnings-1_383/index.html
Digital Fortress,58.0,Fiction,5,5,1676,1,0,16,https://books.toscrape.com/catalogue/digital-fortress_369/index.html
Atlas Shrugged,26.58,Fiction,5,4,1805,1,0,14,https://books.toscrape.com/catalogue/atlas-shrugged_314/index.html
Three-Martini Lunch,23.21,Fiction,3,3,1611,1,0,19,https://books.toscrape.com/catalogue/three-martini-lunch_290/index.html
The Nightingale,26.26,Fiction,4,3,2211,1,0,15,https://books.toscrape.com/catalogue/the-nightingale_267/index.html
The Infinities,27.41,Fiction,1,3,1778,1,0,14,https://books.toscrape.com/catalogue/the-infinities_257/index.html
The Husband's Secret,52.51,Fiction,5,3,1479,1,0,20,https://books.toscrape.com/catalogue/the-husbands-secret_256/index.html
The Da Vinci Code (Robert Langdon #2),22.96,Fiction,2,3,1434,1,0,37,https://books.toscrape.com/catalogue/the-da-vinci-code-robert-langdon-2_240/index.html
The Art of Fielding,22.1,Fiction,1,3,1608,1,0,19,https://books.toscrape.com/catalogue/the-art-of-fielding_228/index.html
Lila (Gilead #3),12.47,Fiction,3,3,1789,1,0,16,https://books.toscrape.com/catalogue/lila-gilead-3_190/index.html
Jurassic Park (Jurassic Park #1),44.97,Fiction,1,3,857,1,0,32,https://books.toscrape.com/catalogue/jurassic-park-jurassic-park-1_180/index.html
Inferno (Robert Langdon #4),41.0,Fiction,5,3,1179,1,0,27,https://books.toscrape.com/catalogue/inferno-robert-langdon-4_176/index.html
Crazy Rich Asians (Crazy Rich Asians #1),49.13,Fiction,5,3,1807,1,0,40,https://books.toscrape.com/catalogue/crazy-rich-asians-crazy-rich-asians-1_143/index.html
Big Little Lies,22.11,Fiction,1,3,1801,1,0,15,https://books.toscrape.com/catalogue/big-little-lies_129/index.html
The Course of Love,16.78,Fiction,3,2,1805,1,0,18,https://books.toscrape.com/catalogue/the-course-of-love_109/index.html
When I'm Gone,51.96,Fiction,3,1,1321,1,0,13,https://books.toscrape.com/catalogue/when-im-gone_95/index.html
The Silent Wife,12.34,Fiction,5,1,1255,1,0,15,https://books.toscrape.com/catalogue/the-silent-wife_83/index.html
The Bette Davis Club,30.66,Fiction,3,1,1460,1,0,20,https://books.toscrape.com/catalogue/the-bette-davis-club_59/index.html
Kitchens of the Great Midwest,57.2,Fiction,5,1,2391,1,0,29,https://books.toscrape.com/catalogue/kitchens-of-the-great-midwest_28/index.html
Bright Lines,39.07,Fiction,5,1,1472,1,0,12,https://books.toscrape.com/catalogue/bright-lines_11/index.html
Birdsong: A Story in Pictures,54.64,Childrens,3,19,1186,1,0,29,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
The Bear and the Piano,36.89,Childrens,1,18,944,1,0,22,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
The Secret of Dreadwillow Carse,56.13,Childrens,1,16,1630,1,0,31,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,Childrens,4,15,953,1,0,69,https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html
Little Red,13.47,Childrens,3,15,783,1,0,10,https://books.toscrape.com/catalogue/little-red_817/index.html
Walt Disney's Alice in Wonderland,12.96,Childrens,5,14,1274,1,0,33,https://books.toscrape.com/catalogue/walt-disneys-alice-in-wonderland_777/index.html
Twenty Yawns,22.08,Childrens,2,14,844,1,0,12,https://books.toscrape.com/catalogue/twenty-yawns_773/index.html
Rain Fish,23.57,Childrens,3,14,1491,1,0,9,https://books.toscrape.com/catalogue/rain-fish_728/index.html
Once Was a Time,18.28,Childrens,2,14,1114,1,0,15,https://books.toscrape.com/catalogue/once-was-a-time_724/index.html
Luis Paints the World,53.95,Childrens,3,14,837,1,0,21,https://books.toscrape.com/catalogue/luis-paints-the-world_714/index.html
Nap-a-Roo,25.08,Childrens,1,9,831,1,0,9,https://books.toscrape.com/catalogue/nap-a-roo_567/index.html
The Whale,35.96,Childrens,4,7,1149,1,0,9,https://books.toscrape.com/catalogue/the-whale_501/index.html
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,Childrens,3,7,1278,1,0,62,https://books.toscrape.com/catalogue/shrunken-treasures-literary-classics-short-sweet-and-silly_484/index.html
Raymie Nightingale,34.41,Childrens,2,7,1179,1,0,18,https://books.toscrape.com/catalogue/raymie-nightingale_482/index.html
Playing from the Heart,32.38,Childrens,1,7,1079,1,0,22,https://books.toscrape.com/catalogue/playing-from-the-heart_481/index.html
Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,Childrens,1,5,773,1,0,61,https://books.toscrape.com/catalogue/maybe-something-beautiful-how-art-transformed-a-neighborhood_386/index.html
The Wild Robot,56.07,Childrens,3,3,878,1,0,14,https://books.toscrape.com/catalogue/the-wild-robot_288/index.html
The Thing About Jellyfish,48.77,Childrens,1,3,1038,1,0,25,https://books.toscrape.com/catalogue/the-thing-about-jellyfish_283/index.html
The Lonely Ones,43.59,Childrens,5,3,1710,1,0,15,https://books.toscrape.com/catalogue/the-lonely-ones_261/index.html
The Day the Crayons Came Home (Crayons),26.33,Childrens,5,3,2245,1,0,39,https://books.toscrape.com/catalogue/the-day-the-crayons-came-home-crayons_241/index.html
The Cat in the Hat (Beginner Books B-1),16.26,Childrens,2,3,1163,1,0,39,https://books.toscrape.com/catalogue/the-cat-in-the-hat-beginner-books-b-1_235/index.html
Red: The True Story of Red Riding Hood,28.54,Childrens,3,3,1468,1,0,38,https://books.toscrape.com/catalogue/red-the-true-story-of-red-riding-hood_210/index.html
Horrible Bear!,37.52,Childrens,2,3,954,1,0,14,https://books.toscrape.com/catalogue/horrible-bear_168/index.html
Green Eggs and Ham (Beginner Books B-16),10.79,Childrens,4,3,1155,1,0,40,https://books.toscrape.com/catalogue/green-eggs-and-ham-beginner-books-b-16_165/index.html
Counting Thyme,10.62,Childrens,1,3,1480,1,0,14,https://books.toscrape.com/catalogue/counting-thyme_142/index.html
Are We There Yet?,10.66,Childrens,3,3,1163,1,0,17,https://books.toscrape.com/catalogue/are-we-there-yet_122/index.html
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88,Childrens,4,2,1066,1,0,84,https://books.toscrape.com/catalogue/diary-of-a-minecraft-zombie-book-1-a-scare-of-a-dare-an-unofficial-minecraft-book_99/index.html
Matilda,28.34,Childrens,1,1,1656,1,0,7,https://books.toscrape.com/catalogue/matilda_32/index.html
Charlie and the Chocolate Factory (Charlie Bucket #1),22.85,Childrens,3,1,206,1,0,53,https://books.toscrape.com/catalogue/charlie-and-the-chocolate-factory-charlie-bucket-1_13/index.html
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,Religion,2,16,1557,1,0,83,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html
You Are What You Love: The Spiritual Power of Habit,21.87,Religion,4,15,1801,1,0,51,https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html
God: The Most Unpleasant Character in All Fiction,30.03,Religion,5,14,1196,1,0,49,https://books.toscrape.com/catalogue/god-the-most-unpleasant-character-in-all-fiction_697/index.html
The Book of Mormon,24.57,Religion,3,9,3154,1,0,18,https://books.toscrape.com/catalogue/the-book-of-mormon_571/index.html
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,Religion,1,4,1140,1,0,74,https://books.toscrape.com/catalogue/a-history-of-god-the-4000-year-quest-of-judaism-christianity-and-islam_310/index.html
The Bhagavad Gita,57.49,Religion,3,1,990,1,0,17,https://books.toscrape.com/catalogue/the-bhagavad-gita_60/index.html
Choosing Our Religion: The Spiritual Lives of America's Nones,28.42,Religion,4,1,2165,1,0,61,https://books.toscrape.com/catalogue/choosing-our-religion-the-spiritual-lives-of-americas-nones_14/index.html
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,Nonfiction,5,18,2494,1,0,55,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Nonfiction,3,18,1197,1,0,73,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
Reasons to Stay Alive,26.41,Nonfiction,2,17,1247,1,0,21,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Nonfiction,5,17,1523,1,0,66,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Nonfiction,4,16,1825,1,0,105,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Nonfiction,3,16,2468,1,0,75,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Nonfiction,3,16,1321,1,0,86,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,Nonfiction,1,16,1694,1,0,57,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,Nonfiction,1,16,1535,1,0,62,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Nonfiction,4,16,1053,1,0,78,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Nonfiction,2,16,2005,1,0,65,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
In the Country We Love: My Family Divided,22.0,Nonfiction,4,16,1598,1,0,41,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,Nonfiction,2,16,1770,1,0,77,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,Nonfiction,5,16,1664,1,0,66,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html
Algorithms to Live By: The Computer Science of Human Decisions,30.81,Nonfiction,1,16,1680,1,0,62,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
The Power of Now: A Guide to Spiritual Enlightenment,43.54,Nonfiction,2,15,1613,1,0,52,https://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,Nonfiction,2,15,3719,1,0,55,https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html
The Genius of Birds,17.24,Nonfiction,1,15,2931,1,0,19,https://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,Nonfiction,5,15,1149,1,0,55,https://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html
So You've Been Publicly Shamed,12.23,Nonfiction,2,15,1445,1,0,30,https://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html
